OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B25010_001E,B25010_001M,B11007_003E,B11007_003M,POP65PCT_CALC,POP65PCTM_CALC,DP04_0058E,DP04_0058M,DP04_0058PE,DP04_0058PM,B25044_003E,B25044_003M,B25044_010E,B25044_010M,B25044_004E,B25044_004M,B25044_011E,B25044_011M,DP04_0059E,DP04_0059M,B25044_005E,B25044_005M,B25044_012E,B25044_012M,DP04_0060E,DP04_0060M,B25044_006E,B25044_006M,B25044_013E,B25044_013M,HOUSE3VEHICLE_CALC,HOUSE3VEHICLE_CALCM,B25044_007E,B25044_007M,B25044_014E,B25044_014M,HOUSE4VEHICLE_CALC,HOUSE4VEHICLE_CALCM,B25044_008E,B25044_008M,B25044_015E,B25044_015M,HOUSE5VEHICLE_CALC,HOUSE5VEHICLE_CALCM,DP02_0001E,DP02_0001M,DP02_0007E,DP02_0007M,DP02_0011E,DP02_0011M,DP02_0004E,DP02_0004M,DP02_0015E,DP02_0015M,DP02_0007PM,DP02_0011PM,DP02_0007PE,DP02_0011PE,SHAPE_Length,SHAPE_Area
19,22,01629543,0400000US22,22,LA,Louisiana,00,111899106382,23752001883,41.6836394034895,2.61,0,194667,2963,11.2,0.2,145049,2896,8.3,0.2,39564,1429,105485,2530,337183,3483,308535,3716,645718,4183,502347,4804,145815,2956,648162,4822,188339,3366,31024,1257,219363,3593,56069,1621,6050,564,62119,1716,17703,1040,1383,251,19086,1070,1739497,5804,22422,1370,126922,2747,106152,2539,493154,2266,0.1,0.2,1.3,7.3,38.8045751765123,11.5442087789237
20,23,01779787,0400000US23,23,ME,Maine,00,79887659040,11745717739,16.7171252237009,2.32,0,74712,1582,13.3,0.3,39628,1497,7.1,0.3,9644,584,29984,1348,110740,1662,76458,2033,187198,2512,185678,2290,39030,1289,224708,2629,69205,1353,7191,687,76396,1517,21527,939,1682,306,23209,988,7965,542,817,192,8782,575,559921,2546,7309,558,20811,1208,50034,1372,187219,1135,0.1,0.2,1.3,3.7,37.6034758942863,9.75320539172595
21,24,01714934,0400000US24,24,MD,Maryland,00,25151726296,6979340970,239.301586267548,2.67,0,234528,3303,10.6,0.1,197611,2968,9,0.1,45485,1512,152126,2731,375688,4040,331618,4172,707306,5077,623404,5592,190286,3211,813690,5585,283675,3642,41766,1477,325441,3930,102049,1993,10328,816,112377,2154,44848,1334,3931,439,48779,1404,2205204,5389,27843,1196,126029,1936,124951,2453,635370,2451,0.1,0.1,1.3,5.7,28.7194184181003,2.77229835806167
22,25,00606926,0400000US25,25,MA,Massachusetts,00,20204387828,7130663019,339.062636211439,2.52,0,312687,3536,11.9,0.1,323980,3641,12.4,0.1,56495,1421,267485,3468,456018,4261,464409,4574,920427,5288,743634,5681,205830,3489,949464,5951,262324,3124,36399,1523,298723,3475,84576,1891,7840,719,92416,2023,29718,1170,2769,400,32487,1236,2617497,4909,24093,1121,134808,2477,175393,3106,786625,2555,0.1,0.1,0.9,5.2,17.6297312470911,2.31854783369275
23,26,01779789,0400000US26,26,MI,Michigan,00,146608689865,103878116983,67.9718576653007,2.47,0,467411,5233,11.9,0.1,303277,3192,7.7,0.1,89575,1605,213702,3013,777288,4425,558426,4763,1335714,5661,1233098,7099,284786,2862,1517884,7437,481473,4664,56166,1783,537639,4993,157567,2144,14777,788,172344,2284,63698,1458,4485,415,68183,1516,3935041,8563,50800,1490,203402,2950,259010,3194,1181569,3852,0.1,0.1,1.3,5.2,58.0978422847974,17.0547667787834
24,27,00662849,0400000US27,27,MN,Minnesota,00,206230065476,18942261495,26.9765612844042,2.49,0,241706,2762,11.1,0.1,146861,2292,6.7,0.1,30418,923,116443,1984,355698,3081,290982,2957,646680,3766,720726,4844,160076,2258,880802,4766,311733,3083,37974,1293,349707,3343,100159,1573,10523,683,110682,1715,46136,954,4735,362,50871,1020,2185603,5103,30067,883,92701,2002,154070,2617,594387,2267,0.1,0.1,1.4,4.2,35.0807593196968,25.5395620153738
25,28,01779790,0400000US28,28,MS,Mississippi,00,121536584987,3923863925,24.555717114474,2.62,0,127862,2728,11.6,0.2,71303,2069,6.5,0.2,24587,1269,46716,1722,195806,3101,170315,3047,366121,3682,303011,3642,101622,2777,404633,3743,153554,2714,24699,1382,178253,3046,54079,1985,6426,619,60505,2079,21804,1092,1775,320,23579,1138,1104394,4685,13481,1002,87500,2265,51803,1726,329250,2164,0.1,0.2,1.2,7.9,24.6095201178509,11.8854166203589
26,29,01779791,0400000US29,29,MO,Missouri,00,178049911275,2489250399,34.2876329242922,2.46,0,281127,3922,11.6,0.2,165906,2855,6.9,0.1,43177,1322,122729,2564,393337,3728,394417,4740,787754,5167,700433,5387,217946,3927,918379,6356,320677,3329,50053,1731,370730,3752,107917,1938,12803,925,120720,2147,46445,1289,4587,451,51032,1366,2414521,5679,34392,1339,124469,2535,153110,2516,702312,2725,0.1,0.1,1.4,5.2,24.7132958732242,18.6154449481328
27,30,00767982,0400000US30,30,MT,Montana,00,376966832749,3869031338,2.78711257523169,2.39,0,52166,1331,12.2,0.3,21284,814,5,0.2,5279,465,16005,738,58350,1527,58546,1734,116896,2090,116048,1584,42107,1271,158155,1827,69835,1605,13525,927,83360,1853,26622,941,4135,525,30757,1078,15337,726,2082,322,17419,794,427871,1682,6456,627,15179,767,27677,1218,133089,870,0.1,0.2,1.5,3.5,36.3101196190043,45.0797986102684
28,31,01779792,0400000US31,31,NE,Nebraska,00,198953801353,1374686302,9.62319386199117,2.45,0,86366,1351,11.4,0.2,40939,919,5.4,0.1,8847,506,32092,884,102253,1640,120808,1901,223061,2459,222186,1897,73892,1809,296078,2528,107973,1517,20973,848,128946,1738,40931,1264,7061,499,47992,1359,19489,772,2671,317,22160,835,759176,2333,9679,626,35703,1125,46942,1170,205319,855,0.1,0.2,1.3,4.7,24.1940176763819,21.614456008197
